id_loker,pulau,provinsi,kota,job_position,skills_to_have,pendidikan,company_name,job_category,job_salary,job_type,platform
972,Jawa,Banten,Pandeglang,Sales,"Target Oriented, Negotiation Skill, Hardworking, Microsoft Office, Good Communication Skills",d3,PT Bakrie Building Industries,Administrative,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
973,Jawa,DKI Jakarta,Jakarta,Backend Developer,"Django, Elasticsearch, Phyton, Restful Api",tidak dicantumkan,Goapp,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
974,Jawa,Banten,Pandeglang,Sales,"Target Oriented, Negotiation Skill, Hardworking, Microsoft Office, Good Communication Skills",d3,PT Bakrie Building Industries,Administrative,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
975,Jawa,DKI Jakarta,Jakarta,Frontend Developer,"JavaScript, CSS, Html 5, ReactJS, Vue.js",tidak dicantumkan,PT Inovasi Sukses Sentosa,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
976,Bali,Bali,Badung,Sales,"Basic Selling Skill, Good In Selling Skill, Solution Selling, Marketing And Selling",d3,Keller Williams Bali,Business Development / Sales,"IDR 3,000,000-6,000,000 / month",FULL_TIME,glints
977,Jawa,DKI Jakarta,Jakarta,Sales,"English, Microsoft Excel, Good Communication Skills, Presentation Skills, Business Development, Business Analyst, Business Planning, Business Strategy",tidak dicantumkan,PT Tennova Cipta Inatech (Pomona),Business Development / Sales,"IDR 1,000,000-2,000,000 / month",INTERNSHIP,glints
978,Jawa,DKI Jakarta,Jakarta,Sales,"IT Solutions, It Sales, B2b Sales, Telecommunications",tidak dicantumkan,Pt Praweda Sarana Informatika,Business Development / Sales,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
979,Jawa,DKI Jakarta,Jakarta,Data Engineer,"MySQL, Sql Query, Mysql Database, Mysql Rdbms, RDBMS",tidak dicantumkan,Skolla EdTech,Data Science,"IDR 4,500,000-7,500,000 / month",FULL_TIME,glints
980,Jawa,Jawa Timur,Surabaya,Product Developer,"Product Management, Product Development, Product Design, Video Production",tidak dicantumkan,Pt. Bumi Boga Laksmi,Product Management,"IDR 10,000,000-15,000,000 / month",FULL_TIME,glints
981,Jawa,Jawa Barat,Bandung,Sales Executive,"Sales And Marketing, Sales Management, Direct Sales, Salesforce, Sales Operations, Sales, Sales Presentations, Retail Sales, Sales Marketing, B2b Sales",s1,Wall Street English,Business Development / Sales,"IDR 3,999,999-4,000,000 / month",FULL_TIME,glints
982,Jawa,DKI Jakarta,Jakarta,Software Engineer,"MySQL, Php (laravel ), JSON, Restful Api, Ruby on Rails",s1,Transfez,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
983,Jawa,DKI Jakarta,Jakarta,Assistant Manager,"Leadership, Hardworking, Self-motivated, Good Communication Skills, Time Management","d3, s1",Pt Cerdas Indonesia Berjangka,Management,"IDR 5,500,000-9,000,000 / month",FULL_TIME,glints
984,Jawa,DKI Jakarta,Jakarta,Backend Developer,".NET Core, MySQL, Widgets, React Native, Microsoft Azure, Full Stack Development, Azure Cloud, Soap Ui, Python, ASP.NET, Swift, Asp.net C#, React / React Native, XML, Python Programming, Mobile Applications, ISO27001, JSON, Restful Api, .net Framework",tidak dicantumkan,mHealthBank,Software Engineering,"IDR 15,000,000-25,000,000 / month",FULL_TIME,glints
985,Jawa,DKI Jakarta,Jakarta,Software Engineer,"Redux, Node.js, JavaScript, ReactJS, Express.js, React Native, PostgreSQL, CI/CD tools, Rest Api, MongoDB, Amazon Web Services (AWS)",tidak dicantumkan,XCIDIC,Software Engineering,"IDR 6,000,000-10,000,000 / month",FULL_TIME,glints
986,Jawa,DKI Jakarta,Jakarta,Ppic Staff,"Manajemen Inventory, Stock Opname, Production Planning, Inventory Control, Inventory Management, Strategic Planning",tidak dicantumkan,PT HI-COOK Indonesia,Other,"IDR 5,000,000-0 / month",FULL_TIME,glints
