id_loker,provinsi,skills
51,DKI Jakarta,ReactJS
51,DKI Jakarta,React Native
51,DKI Jakarta,PHP
51,DKI Jakarta,Golang
52,DKI Jakarta,Account Executive
52,DKI Jakarta,Account Management
52,DKI Jakarta,Account Manager
53,DKI Jakarta,Human Resources
53,DKI Jakarta,Human Resource Management
53,DKI Jakarta,Hr Generalist
54,Kepulauan Riau,JavaScript
54,Kepulauan Riau,English
54,Kepulauan Riau,Redis
54,Kepulauan Riau,Postgres
54,Kepulauan Riau,Python
54,Kepulauan Riau,Docker
54,Kepulauan Riau,LevelDB
54,Kepulauan Riau,Amazon Web Services (AWS)
54,Kepulauan Riau,Golang
54,Kepulauan Riau,Git
54,Kepulauan Riau,Blockchain
54,Kepulauan Riau,Smart Contracts
54,Kepulauan Riau,Trading Systems
55,Kepulauan Riau,iOS Development
55,Kepulauan Riau,Core Animation
55,Kepulauan Riau,Swift
55,Kepulauan Riau,Android Development
55,Kepulauan Riau,iOS Design
55,Kepulauan Riau,Core Data
56,Kepulauan Riau,Good With Numbers
56,Kepulauan Riau,.NET Core
56,Kepulauan Riau,Unit Testing
56,Kepulauan Riau,Postgres
56,Kepulauan Riau,Typescript
56,Kepulauan Riau,React Redux
56,Kepulauan Riau,PostGis
56,Kepulauan Riau,Numpy
56,Kepulauan Riau,Python
56,Kepulauan Riau,Machine Learning
56,Kepulauan Riau,Nginx
56,Kepulauan Riau,Tensorflow
56,Kepulauan Riau,OpenCV
57,Kepulauan Riau,.NET
57,Kepulauan Riau,jQuery
57,Kepulauan Riau,MySQL
57,Kepulauan Riau,English
57,Kepulauan Riau,Java
57,Kepulauan Riau,Html5
57,Kepulauan Riau,AJAX
57,Kepulauan Riau,Python
57,Kepulauan Riau,Api
57,Kepulauan Riau,Http
57,Kepulauan Riau,PHP
57,Kepulauan Riau,Web Development
57,Kepulauan Riau,JSON
57,Kepulauan Riau,Restful Api
58,Kepulauan Riau,Object Oriented Programming Languages
58,Kepulauan Riau,Sql Database
58,Kepulauan Riau,Microsoft SQL Server
58,Kepulauan Riau,Microsoft .net
59,DKI Jakarta,MVC
59,DKI Jakarta,JavaScript
59,DKI Jakarta,React Native
59,DKI Jakarta,Graphql
59,DKI Jakarta,CSS
59,DKI Jakarta,Html5
59,DKI Jakarta,Mobile Native
59,DKI Jakarta,AngularJS
59,DKI Jakarta,Cicd
59,DKI Jakarta,Amazon Web Services (AWS)
59,DKI Jakarta,Scrum
59,DKI Jakarta,Git
59,DKI Jakarta,Google Cloud Platform
60,DKI Jakarta,JavaScript
60,DKI Jakarta,MySQL
60,DKI Jakarta,Docker
60,DKI Jakarta,nodejs
60,DKI Jakarta,Aws
60,DKI Jakarta,Amazon Web Services (AWS)
60,DKI Jakarta,Git
61,Kepulauan Riau,Bacnet
61,Kepulauan Riau,Nosql
61,Kepulauan Riau,JavaScript
61,Kepulauan Riau,Jenkins
61,Kepulauan Riau,Graphql
61,Kepulauan Riau,PostgreSQL
61,Kepulauan Riau,Go (Programming Language)
61,Kepulauan Riau,Modbus
61,Kepulauan Riau,Scrum Methodology
61,Kepulauan Riau,Django
61,Kepulauan Riau,ZigBee
61,Kepulauan Riau,Python
61,Kepulauan Riau,Kubernetes
61,Kepulauan Riau,Google Cloud Platform (GCP)
61,Kepulauan Riau,Ci/cd
61,Kepulauan Riau,MongoDB
61,Kepulauan Riau,Amazon Web Services (AWS)
61,Kepulauan Riau,LAN/WAN
61,Kepulauan Riau,Iot
61,Kepulauan Riau,Git
62,Kepulauan Riau,ReactJS
62,Kepulauan Riau,HTML
62,Kepulauan Riau,React Native
62,Kepulauan Riau,Flutter
62,Kepulauan Riau,Ui/ux Design
62,Kepulauan Riau,AngularJS
63,DKI Jakarta,JavaScript
63,DKI Jakarta,Jenkins
63,DKI Jakarta,Linux
63,DKI Jakarta,Docker
63,DKI Jakarta,Kubernetes
63,DKI Jakarta,Cicd
63,DKI Jakarta,Amazon Web Services (AWS)
64,DKI Jakarta,Visual Basic .net
64,DKI Jakarta,.NET
64,DKI Jakarta,Visual Basic
64,DKI Jakarta,Visual Studio C#
64,DKI Jakarta,ASP.NET
64,DKI Jakarta,Visual Basic 6.0
64,DKI Jakarta,Asp.net C#
64,DKI Jakarta,Microsoft Visual Basic 6
64,DKI Jakarta,C# .net
64,DKI Jakarta,Visual Basic.net
64,DKI Jakarta,VB.NET
64,DKI Jakarta,C#
65,Kepulauan Riau,Testrails
65,Kepulauan Riau,English
65,Kepulauan Riau,Zephyr
65,Kepulauan Riau,Manual Testing
65,Kepulauan Riau,Unix
65,Kepulauan Riau,Qa Methodologies
66,DKI Jakarta,J2ee Web Services
66,DKI Jakarta,ISO 9001
66,DKI Jakarta,Java
66,DKI Jakarta,Perl
66,DKI Jakarta,Ibm Rational Test
66,DKI Jakarta,ASP.NET
66,DKI Jakarta,C/c++
66,DKI Jakarta,Rest Api
66,DKI Jakarta,Loadrunner
66,DKI Jakarta,XML
66,DKI Jakarta,Web Services
66,DKI Jakarta,JMeter
66,DKI Jakarta,Unix
67,DKI Jakarta,Routing & Switching
67,DKI Jakarta,Database Administration
67,DKI Jakarta,Rpgle
67,DKI Jakarta,Operating System
67,DKI Jakarta,It Data Center
68,DKI Jakarta,Node.js
68,DKI Jakarta,JavaScript
68,DKI Jakarta,React Native
68,DKI Jakarta,Python
68,DKI Jakarta,AngularJS
68,DKI Jakarta,PHP
68,DKI Jakarta,C#
69,DKI Jakarta,MySQL
69,DKI Jakarta,Software Development
69,DKI Jakarta,Delphi
70,DKI Jakarta,Air Freight
70,DKI Jakarta,Export Import
70,DKI Jakarta,Logistics
71,Kepulauan Riau,Java
71,Kepulauan Riau,Hibernate
71,Kepulauan Riau,Spring Boot
71,Kepulauan Riau,Spring
71,Kepulauan Riau,J2ee
71,Kepulauan Riau,Azure
71,Kepulauan Riau,Docker
71,Kepulauan Riau,Kubernetes
71,Kepulauan Riau,Ci/cd
72,DKI Jakarta,Android SDK
72,DKI Jakarta,Android Development
72,DKI Jakarta,Android
73,Kepulauan Riau,Sql
73,Kepulauan Riau,PostgreSQL
73,Kepulauan Riau,Azure Cloud
73,Kepulauan Riau,Oracle
73,Kepulauan Riau,RDBMS
73,Kepulauan Riau,Database
74,DKI Jakarta,Leadership
74,DKI Jakarta,Relationship Management
74,DKI Jakarta,Public Speaking
75,DKI Jakarta,Finance Accounting
75,DKI Jakarta,Accounting
75,DKI Jakarta,Finance
76,DKI Jakarta,Node.js
76,DKI Jakarta,nodejs
76,DKI Jakarta,Restful Api
76,DKI Jakarta,Golang
77,Kepulauan Riau,Devops
77,Kepulauan Riau,SDLC
77,Kepulauan Riau,Java
77,Kepulauan Riau,Linux
77,Kepulauan Riau,Python
77,Kepulauan Riau,Agile
77,Kepulauan Riau,Git
78,Kepulauan Riau,JavaScript
78,Kepulauan Riau,Php Programming
78,Kepulauan Riau,PHP
78,Kepulauan Riau,Database
78,Kepulauan Riau,Laravel Framework
78,Kepulauan Riau,JSON
79,DKI Jakarta,Java Android
79,DKI Jakarta,Android Development
79,DKI Jakarta,Unix/linux Server
79,DKI Jakarta,Git
79,DKI Jakarta,Python
79,DKI Jakarta,C (Programming Language)
80,Jawa Timur,Sales Engineering
80,Jawa Timur,building material
80,Jawa Timur,Sales
81,DKI Jakarta,Market Trend
81,DKI Jakarta,Building Sales Pipelines
81,DKI Jakarta,MQL4
81,DKI Jakarta,Key Client Relationships
81,DKI Jakarta,Manage Team
81,DKI Jakarta,B2b Sales
81,DKI Jakarta,Sales Report
82,DKI Jakarta,Merchant Acquisition
82,DKI Jakarta,Sales
82,DKI Jakarta,Account Management
82,DKI Jakarta,Key Account Management
83,DKI Jakarta,Insurance
83,DKI Jakarta,Business Analyst
83,DKI Jakarta,It Business Analytics
84,Jawa Barat,Project Management Skills
84,Jawa Barat,Agile Project Management
84,Jawa Barat,Scrum
85,DKI Jakarta,ReactJS
85,DKI Jakarta,React Native
85,DKI Jakarta,Scss
85,DKI Jakarta,CSS
85,DKI Jakarta,Http
86,DKI Jakarta,Hr Business Partner
86,DKI Jakarta,HR Management
86,DKI Jakarta,Recruitment
87,DKI Jakarta,Node.js
87,DKI Jakarta,JavaScript
87,DKI Jakarta,PHP
88,DKI Jakarta,Leadership
88,DKI Jakarta,Digital Media
88,DKI Jakarta,Sales
88,DKI Jakarta,Client Management
89,Banten,Social Media Marketing
89,Banten,Digital Marketing
89,Banten,Instagram Ads
89,Banten,Facebook Ads
89,Banten,Adobe Photoshop
90,DKI Jakarta,Operations Management
90,DKI Jakarta,Cyber-security
90,DKI Jakarta,Sop & Policies
90,DKI Jakarta,Ccps
91,DKI Jakarta,C/c++ Programming
91,DKI Jakarta,C/c++
91,DKI Jakarta,C++
92,Kepulauan Riau,Qa Tester
92,Kepulauan Riau,Sql Server
92,Kepulauan Riau,English
92,Kepulauan Riau,Qa Testing
93,DKI Jakarta,Mobile Development
93,DKI Jakarta,iOS Development
93,DKI Jakarta,Android Development
94,DKI Jakarta,Node.js
94,DKI Jakarta,JavaScript
94,DKI Jakarta,Backend
94,DKI Jakarta,PHP
95,DKI Jakarta,ISTQB
95,DKI Jakarta,Quality Assurance
95,DKI Jakarta,Banking
96,Kepulauan Riau,Content Writing
96,Kepulauan Riau,Lifestyle
96,Kepulauan Riau,Article Writing
96,Kepulauan Riau,Fluent In English Both Oral And Written
96,Kepulauan Riau,Translation
97,DKI Jakarta,Python
97,DKI Jakarta,Testing
97,DKI Jakarta,ETL
97,DKI Jakarta,Amazon Web Services (AWS)
97,DKI Jakarta,Google Cloud Platform
97,DKI Jakarta,Data Warehousing
97,DKI Jakarta,Data Analysis
98,DKI Jakarta,IT Infrastructure
98,DKI Jakarta,Amazon Web Services (AWS)
98,DKI Jakarta,Cloud Computing
99,DKI Jakarta,JavaScript
99,DKI Jakarta,ReactJS
99,DKI Jakarta,React Native
100,DKI Jakarta,Mobile Development
100,DKI Jakarta,ReactJS
100,DKI Jakarta,Full Stack Development
100,DKI Jakarta,Docker
100,DKI Jakarta,Kubernetes
100,DKI Jakarta,Kotlin
100,DKI Jakarta,Agile Methodologies
100,DKI Jakarta,AngularJS
101,Kepulauan Riau,Dart
101,Kepulauan Riau,Full Stack Development
101,Kepulauan Riau,Cloud Computing
101,Kepulauan Riau,Golang
101,Kepulauan Riau,Swift (Programming Language)
101,Kepulauan Riau,JavaScript
101,Kepulauan Riau,Flutter
101,Kepulauan Riau,Elixir
101,Kepulauan Riau,Java
101,Kepulauan Riau,Python
101,Kepulauan Riau,Swift
101,Kepulauan Riau,Kotlin
101,Kepulauan Riau,Typescript
101,Kepulauan Riau,Angular
101,Kepulauan Riau,Aws Cloud Services
101,Kepulauan Riau,Erlang
101,Kepulauan Riau,C++
101,Kepulauan Riau,Google Cloud Platform
102,DKI Jakarta,ReactJS
102,DKI Jakarta,Docker
102,DKI Jakarta,Agile Methodologies
102,DKI Jakarta,Angular
102,DKI Jakarta,Software Engineering
103,DKI Jakarta,Html/css
103,DKI Jakarta,JavaScript
103,DKI Jakarta,HTML
103,DKI Jakarta,CSS
103,DKI Jakarta,Rest Api
103,DKI Jakarta,Html5 & Css3
103,DKI Jakarta,Java Programming
104,Jawa Barat,Objective-C
104,Jawa Barat,Swift
104,Jawa Barat,Java Android
104,Jawa Barat,Cocoa Touch
105,DKI Jakarta,Customer Relations
105,DKI Jakarta,English
105,DKI Jakarta,Front Office
105,DKI Jakarta,Good Communication Skills
106,DKI Jakarta,Sales Operations
106,DKI Jakarta,Sales
106,DKI Jakarta,B2b Sales
106,DKI Jakarta,Sales And Marketing
106,DKI Jakarta,Sales Management
106,DKI Jakarta,Direct Sales
106,DKI Jakarta,Salesforce
106,DKI Jakarta,Sales Presentations
106,DKI Jakarta,Retail Sales
106,DKI Jakarta,Sales Marketing
107,DKI Jakarta,Music Marketing
107,DKI Jakarta,Digital Marketing
107,DKI Jakarta,Product Marketing
108,DKI Jakarta,Direct Sales
108,DKI Jakarta,Sales Operations
108,DKI Jakarta,Sales
108,DKI Jakarta,Sales And Marketing
108,DKI Jakarta,Sales Management
108,DKI Jakarta,B2b Sales
108,DKI Jakarta,Sales Marketing
109,Kepulauan Riau,Adobe Indesign
109,Kepulauan Riau,Adobe Illustrator
109,Kepulauan Riau,Adobe Xd
109,Kepulauan Riau,Adobe Ai
109,Kepulauan Riau,Video Editing
109,Kepulauan Riau,Adobe Photoshop
110,DI Yogyakarta,Java
110,DI Yogyakarta,Ruby
110,DI Yogyakarta,Python
110,DI Yogyakarta,PHP
110,DI Yogyakarta,Golang
111,Kepulauan Riau,JavaScript
111,Kepulauan Riau,jQuery
111,Kepulauan Riau,My sql
111,Kepulauan Riau,ASP.NET
111,Kepulauan Riau,Asp.net Web Api
111,Kepulauan Riau,C#
112,DKI Jakarta,Nosql
112,DKI Jakarta,MySQL
112,DKI Jakarta,Puppet
112,DKI Jakarta,Jenkins
112,DKI Jakarta,Svn
112,DKI Jakarta,Linux
112,DKI Jakarta,Docker
112,DKI Jakarta,Kubernetes & Docker
112,DKI Jakarta,Kubernetes
112,DKI Jakarta,Amazon EC2
112,DKI Jakarta,Amazon Web Services (AWS)
112,DKI Jakarta,Cloud Computing
112,DKI Jakarta,Travis Cl
113,Kepulauan Riau,.NET
113,Kepulauan Riau,Nav Developer
113,Kepulauan Riau,Web Api
113,Kepulauan Riau,Power app
113,Kepulauan Riau,Business Central (nav)
113,Kepulauan Riau,JSON
113,Kepulauan Riau,Business Central Nav
114,DKI Jakarta,Vendor Management
114,DKI Jakarta,Account Executive
114,DKI Jakarta,Cyber-security
114,DKI Jakarta,Sales
114,DKI Jakarta,Good Communication Skills
115,Kepulauan Riau,.NET
115,Kepulauan Riau,HTML
115,Kepulauan Riau,PL/SQL
115,Kepulauan Riau,Sql Server
115,Kepulauan Riau,Java
115,Kepulauan Riau,CSS
115,Kepulauan Riau,Compound Semiconductors
115,Kepulauan Riau,Oracle
115,Kepulauan Riau,Microsoft SQL Server
115,Kepulauan Riau,VB.NET
115,Kepulauan Riau,C#
116,DKI Jakarta,Spring Framework
116,DKI Jakarta,Java
116,DKI Jakarta,Java Programming
117,Banten,Loans
117,Banten,Financial Analysis
117,Banten,Data Analysis
117,Banten,Credit Analysis
117,Banten,Data Management
117,Banten,Risk Management
117,Banten,Banking
118,Banten,The company did not indicate any required skills.
119,Kepulauan Riau,English
119,Kepulauan Riau,Golang.
119,Kepulauan Riau,Leadership
119,Kepulauan Riau,Senior Back End
119,Kepulauan Riau,Backend
119,Kepulauan Riau,Golang
120,DKI Jakarta,Data Pipelines
120,DKI Jakarta,Analytical Skills
120,DKI Jakarta,Financial Risk
120,DKI Jakarta,Data Cleaning
120,DKI Jakarta,Credit Analysis
121,Banten,Budgeting
121,Banten,Operations Management
121,Banten,Operations
121,Banten,E-commerce Platform
121,Banten,E-commerce
121,Banten,Data Analysis
121,Banten,Business Planning
122,Jawa Barat,Horeca
122,Jawa Barat,Leadership
122,Jawa Barat,Negotiation Skill
122,Jawa Barat,Sales
122,Jawa Barat,dealing with client
123,DKI Jakarta,Front-end
123,DKI Jakarta,English
123,DKI Jakarta,React Js
123,DKI Jakarta,Android
124,Kepulauan Riau,Brand Character
124,Kepulauan Riau,Visual Design
124,Kepulauan Riau,Motion Intractive Design
124,Kepulauan Riau,Brand Image
124,Kepulauan Riau,Creative visual designer
124,Kepulauan Riau,Digital Visual Design
125,Kepulauan Riau,JavaScript
125,Kepulauan Riau,ReactJS
125,Kepulauan Riau,HTML
125,Kepulauan Riau,Java
125,Kepulauan Riau,CSS
125,Kepulauan Riau,Frontend Coding
125,Kepulauan Riau,Frontend Development
126,DKI Jakarta,JavaScript
126,DKI Jakarta,Full Stack Development
126,DKI Jakarta,Python
126,DKI Jakarta,Full Stack Developer
127,DKI Jakarta,HTML
127,DKI Jakarta,English
127,DKI Jakarta,Java
127,DKI Jakarta,CSS
128,DKI Jakarta,Export Import
128,DKI Jakarta,Custom export import /LC
128,DKI Jakarta,ppjk
129,DKI Jakarta,HTML
129,DKI Jakarta,Google Double-click
129,DKI Jakarta,Online Media
129,DKI Jakarta,Google Ads Manager
130,DKI Jakarta,HR & Payroll
