id_loker,provinsi,pendidikan
226,Jawa Barat,S1
227,Daerah Khusus Ibukota Jakarta,D3
227,Daerah Khusus Ibukota Jakarta,S1
228,Jawa Timur,TIDAK DICANTUMKAN
229,Sumatera Utara,S1
230,Jawa Barat,D3
231,Jawa Barat,S1
232,Jawa Timur,D3
232,Jawa Timur,S1
233,Jawa Barat,S1
234,Jawa Tengah,TIDAK DICANTUMKAN
235,Banten,SMA
236,Jawa Barat,D3
236,Jawa Barat,S1
237,Banten,S1
238,Jawa Timur,PROFESI
238,Jawa Timur,S1
239,Jawa Barat,S1
240,Jawa Timur,D3
241,Jawa Timur,TIDAK DICANTUMKAN
242,Daerah Khusus Ibukota Jakarta,S1
242,Daerah Khusus Ibukota Jakarta,S2
242,Daerah Khusus Ibukota Jakarta,S3
243,Daerah Khusus Ibukota Jakarta,S1
244,Banten,TIDAK DICANTUMKAN
245,Banten,TIDAK DICANTUMKAN
246,Daerah Khusus Ibukota Jakarta,S1
247,Daerah Khusus Ibukota Jakarta,D3
248,Daerah Khusus Ibukota Jakarta,D3
249,Jawa Barat,D3
249,Jawa Barat,S1
250,Daerah Khusus Ibukota Jakarta,D3
251,Daerah Khusus Ibukota Jakarta,D3
252,Daerah Khusus Ibukota Jakarta,D3
253,Jawa Timur,S1
254,Bali,TIDAK DICANTUMKAN
255,Banten,D3
256,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
257,Jawa Tengah,SMA
258,Daerah Khusus Ibukota Jakarta,S1
258,Daerah Khusus Ibukota Jakarta,S2
259,Daerah Khusus Ibukota Jakarta,S1
260,Daerah Khusus Ibukota Jakarta,S1
261,Banten,D3
261,Banten,S1
262,Daerah Khusus Ibukota Jakarta,SMP
263,Daerah Khusus Ibukota Jakarta,S1
264,Banten,S1
265,Daerah Khusus Ibukota Jakarta,D3
266,Lampung,D3
267,Jawa Barat,TIDAK DICANTUMKAN
268,Sumatera Utara,D3
268,Sumatera Utara,S1
269,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
270,Lampung,TIDAK DICANTUMKAN
271,Jawa Timur,S1
272,Jawa Timur,S1
273,Daerah Khusus Ibukota Jakarta,S1
274,Lampung,TIDAK DICANTUMKAN
275,Daerah Khusus Ibukota Jakarta,S1
276,Kalimantan Timur,TIDAK DICANTUMKAN
277,Riau,S1
278,Lampung,S1
279,Banten,D3
279,Banten,S1
280,Jawa Barat,D3
280,Jawa Barat,S1
281,Daerah Khusus Ibukota Jakarta,D3
281,Daerah Khusus Ibukota Jakarta,S1
282,Daerah Khusus Ibukota Jakarta,S1
282,Daerah Khusus Ibukota Jakarta,D4
283,Sulawesi Selatan,S1
284,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
285,Daerah Khusus Ibukota Jakarta,S1
286,Jawa Barat,D3
286,Jawa Barat,S1
287,Bali,PROFESI
288,Daerah Istimewa Yogyakarta,D3
288,Daerah Istimewa Yogyakarta,S1
288,Daerah Istimewa Yogyakarta,PROFESI
289,Nusa Tenggara Barat,S1
290,Daerah Khusus Ibukota Jakarta,PROFESI
291,Jawa Barat,S1
292,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
293,Daerah Khusus Ibukota Jakarta,S1
294,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
295,Daerah Khusus Ibukota Jakarta,SMA
295,Daerah Khusus Ibukota Jakarta,D3
295,Daerah Khusus Ibukota Jakarta,S1
296,Gorontalo,S1
297,Daerah Khusus Ibukota Jakarta,S1
298,Daerah Khusus Ibukota Jakarta,S1
299,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
300,Jawa Barat,D3
300,Jawa Barat,S1
301,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
302,Daerah Khusus Ibukota Jakarta,S1
303,Daerah Khusus Ibukota Jakarta,S1
304,Daerah Khusus Ibukota Jakarta,S2
304,Daerah Khusus Ibukota Jakarta,S1
305,Daerah Khusus Ibukota Jakarta,S1
306,Jawa Barat,PROFESI
306,Jawa Barat,D3
306,Jawa Barat,S1
306,Jawa Barat,S2
306,Jawa Barat,S3
307,Banten,S1
308,Daerah Khusus Ibukota Jakarta,S1
308,Daerah Khusus Ibukota Jakarta,D3
308,Daerah Khusus Ibukota Jakarta,PROFESI
308,Daerah Khusus Ibukota Jakarta,S3
309,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
310,Daerah Khusus Ibukota Jakarta,S1
311,Jawa Barat,S1
312,Jawa Barat,S1
312,Jawa Barat,S2
312,Jawa Barat,S3
313,Jawa Barat,D3
313,Jawa Barat,S1
313,Jawa Barat,S2
313,Jawa Barat,S3
314,Jawa Tengah,TIDAK DICANTUMKAN
315,Daerah Khusus Ibukota Jakarta,S1
316,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
317,Bali,TIDAK DICANTUMKAN
318,Jawa Tengah,PROFESI
319,Jawa Timur,D3
319,Jawa Timur,S1
320,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
321,Banten,S1
322,Nusa Tenggara Timur,S1
323,Daerah Khusus Ibukota Jakarta,PROFESI
323,Daerah Khusus Ibukota Jakarta,S1
324,Daerah Khusus Ibukota Jakarta,S1
325,Daerah Khusus Ibukota Jakarta,S1
326,Daerah Khusus Ibukota Jakarta,S1
327,Jawa Tengah,TIDAK DICANTUMKAN
328,Daerah Khusus Ibukota Jakarta,S1
329,Jawa Barat,TIDAK DICANTUMKAN
330,Kalimantan Selatan,S1
331,Jawa Timur,D3
331,Jawa Timur,S1
332,Daerah Istimewa Yogyakarta,TIDAK DICANTUMKAN
333,Banten,D3
334,Kalimantan Tengah,D3
335,Maluku Utara,SMA
335,Maluku Utara,D3
336,Jawa Barat,TIDAK DICANTUMKAN
337,Daerah Khusus Ibukota Jakarta,S1
338,Jawa Timur,D3
339,Kepulauan Riau,PROFESI
339,Kepulauan Riau,S2
339,Kepulauan Riau,S3
340,Banten,D3
341,Jawa Barat,D3
342,Daerah Khusus Ibukota Jakarta,S1
343,Daerah Khusus Ibukota Jakarta,S1
344,Sulawesi Utara,D3
345,Banten,S1
346,Daerah Khusus Ibukota Jakarta,S1
347,Jawa Timur,TIDAK DICANTUMKAN
348,Daerah Khusus Ibukota Jakarta,S1
349,Jawa Timur,S1
350,Daerah Khusus Ibukota Jakarta,S1
351,Sulawesi Selatan,S1
352,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
353,Banten,D3
353,Banten,S1
354,Banten,TIDAK DICANTUMKAN
355,Banten,SMA
356,Jawa Timur,D3
356,Jawa Timur,S1
357,Jawa Barat,TIDAK DICANTUMKAN
358,Daerah Khusus Ibukota Jakarta,S1
359,Banten,S1
360,Jawa Tengah,D3
361,Daerah Khusus Ibukota Jakarta,D3
361,Daerah Khusus Ibukota Jakarta,S1
361,Daerah Khusus Ibukota Jakarta,PROFESI
362,Daerah Khusus Ibukota Jakarta,S1
363,Daerah Khusus Ibukota Jakarta,S1
364,Daerah Khusus Ibukota Jakarta,S1
365,Daerah Khusus Ibukota Jakarta,S1
366,Daerah Khusus Ibukota Jakarta,D3
366,Daerah Khusus Ibukota Jakarta,S1
366,Daerah Khusus Ibukota Jakarta,S2
366,Daerah Khusus Ibukota Jakarta,S3
367,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
368,Riau,TIDAK DICANTUMKAN
369,Daerah Khusus Ibukota Jakarta,S1
370,Bali,TIDAK DICANTUMKAN
371,Banten,S1
372,Jawa Timur,S1
373,Daerah Khusus Ibukota Jakarta,S1
374,Daerah Khusus Ibukota Jakarta,S1
375,Banten,D3
375,Banten,S1
376,Kalimantan Barat,D3
377,Daerah Khusus Ibukota Jakarta,S1
377,Daerah Khusus Ibukota Jakarta,S2
377,Daerah Khusus Ibukota Jakarta,D3
378,Daerah Khusus Ibukota Jakarta,D3
378,Daerah Khusus Ibukota Jakarta,S1
379,Jawa Timur,S1
380,Jawa Timur,S1
381,Daerah Khusus Ibukota Jakarta,D3
382,Jawa Barat,S1
383,Daerah Khusus Ibukota Jakarta,D3
384,Daerah Khusus Ibukota Jakarta,S1
385,Jawa Barat,D3
385,Jawa Barat,S1
386,Daerah Khusus Ibukota Jakarta,D3
387,Daerah Khusus Ibukota Jakarta,S3
388,Jawa Barat,D3
389,Daerah Khusus Ibukota Jakarta,PROFESI
390,Daerah Khusus Ibukota Jakarta,D3
390,Daerah Khusus Ibukota Jakarta,S1
391,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
392,Daerah Khusus Ibukota Jakarta,S1
393,Daerah Khusus Ibukota Jakarta,D3
394,Daerah Khusus Ibukota Jakarta,S1
395,Bali,D3
396,Daerah Khusus Ibukota Jakarta,S1
397,Daerah Khusus Ibukota Jakarta,D3
398,Daerah Khusus Ibukota Jakarta,D3
399,Jawa Timur,TIDAK DICANTUMKAN
400,Daerah Khusus Ibukota Jakarta,SMA
401,Daerah Khusus Ibukota Jakarta,S1
402,Jawa Barat,S1
403,Daerah Khusus Ibukota Jakarta,S1
404,Daerah Khusus Ibukota Jakarta,S1
405,Banten,TIDAK DICANTUMKAN
406,Jawa Barat,S1
407,Sumatera Selatan,S1
408,Jawa Timur,PROFESI
409,Daerah Khusus Ibukota Jakarta,D3
410,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
411,Daerah Khusus Ibukota Jakarta,S1
412,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
413,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
414,Daerah Khusus Ibukota Jakarta,D3
414,Daerah Khusus Ibukota Jakarta,S1
415,Daerah Khusus Ibukota Jakarta,S1
416,Daerah Khusus Ibukota Jakarta,S1
416,Daerah Khusus Ibukota Jakarta,PROFESI
417,Daerah Khusus Ibukota Jakarta,S1
417,Daerah Khusus Ibukota Jakarta,PROFESI
418,Daerah Khusus Ibukota Jakarta,S1
419,Jawa Barat,TIDAK DICANTUMKAN
420,Maluku,D3
421,Daerah Khusus Ibukota Jakarta,D3
422,Daerah Istimewa Yogyakarta,S1
423,Sumatera Selatan,S1
424,Daerah Khusus Ibukota Jakarta,S1
424,Daerah Khusus Ibukota Jakarta,S2
424,Daerah Khusus Ibukota Jakarta,PROFESI
424,Daerah Khusus Ibukota Jakarta,S3
425,Daerah Khusus Ibukota Jakarta,D3
426,Sumatera Utara,D3
427,Daerah Khusus Ibukota Jakarta,D3
428,Daerah Khusus Ibukota Jakarta,S1
429,Daerah Khusus Ibukota Jakarta,S1
430,Daerah Khusus Ibukota Jakarta,D3
431,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
432,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
433,Daerah Khusus Ibukota Jakarta,D3
434,Jawa Timur,D3
435,Jawa Timur,S1
436,Daerah Khusus Ibukota Jakarta,S1
437,Daerah Khusus Ibukota Jakarta,D3
437,Daerah Khusus Ibukota Jakarta,S1
438,Sulawesi Selatan,S1
439,Banten,D3
440,Banten,S1
441,Daerah Khusus Ibukota Jakarta,S1
442,Banten,S1
443,Banten,S1
444,Jawa Barat,D3
445,Daerah Khusus Ibukota Jakarta,S1
446,Banten,S1
447,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
448,Jawa Barat,S1
448,Jawa Barat,S2
448,Jawa Barat,PROFESI
449,Daerah Khusus Ibukota Jakarta,S1
450,Jawa Barat,TIDAK DICANTUMKAN
451,Daerah Khusus Ibukota Jakarta,S1
452,Daerah Khusus Ibukota Jakarta,D3
453,Jawa Tengah,S1
454,Jawa Timur,S1
455,Jawa Tengah,S1
456,Daerah Khusus Ibukota Jakarta,S1
457,Jawa Tengah,S1
458,Daerah Khusus Ibukota Jakarta,S1
459,Bali,TIDAK DICANTUMKAN
460,Daerah Khusus Ibukota Jakarta,S1
461,Daerah Istimewa Yogyakarta,D3
462,Daerah Khusus Ibukota Jakarta,D3
462,Daerah Khusus Ibukota Jakarta,S1
463,Daerah Khusus Ibukota Jakarta,S1
464,Jawa Tengah,S1
465,Daerah Khusus Ibukota Jakarta,S1
466,Daerah Khusus Ibukota Jakarta,D3
466,Daerah Khusus Ibukota Jakarta,S1
467,Jawa Timur,TIDAK DICANTUMKAN
468,Jawa Barat,S1
469,Jawa Timur,D3
469,Jawa Timur,S1
470,Jawa Timur,D3
471,Daerah Khusus Ibukota Jakarta,S1
472,Daerah Khusus Ibukota Jakarta,S1
473,Jawa Timur,D3
474,Jawa Timur,TIDAK DICANTUMKAN
475,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
476,Jawa Barat,S1
477,Jawa Timur,S1
478,Jawa Timur,TIDAK DICANTUMKAN
479,Jawa Timur,D3
479,Jawa Timur,S1
480,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
481,Sumatera Utara,D3
481,Sumatera Utara,S1
482,Jawa Barat,TIDAK DICANTUMKAN
483,Banten,TIDAK DICANTUMKAN
484,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
485,Kepulauan Riau,D3
486,Daerah Khusus Ibukota Jakarta,S1
487,Jawa Tengah,TIDAK DICANTUMKAN
488,Daerah Khusus Ibukota Jakarta,PROFESI
488,Daerah Khusus Ibukota Jakarta,S1
488,Daerah Khusus Ibukota Jakarta,S2
488,Daerah Khusus Ibukota Jakarta,S3
489,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
490,Daerah Khusus Ibukota Jakarta,S1
491,Daerah Khusus Ibukota Jakarta,D3
492,Jawa Timur,S1
493,Jawa Barat,S1
494,Jawa Tengah,TIDAK DICANTUMKAN
495,Jawa Barat,D3
495,Jawa Barat,S1
496,Daerah Khusus Ibukota Jakarta,S1
497,Daerah Khusus Ibukota Jakarta,S1
498,Daerah Khusus Ibukota Jakarta,S1
499,Daerah Khusus Ibukota Jakarta,S1
500,Daerah Khusus Ibukota Jakarta,S1
