id_loker,pulau,provinsi,job_position,company_name,years_of_experience,years_of_experience_cat,average_processing_time,company_industry,company_size,work_environment_waktu_bekerja,work_environment_gaya_berpakaian,work_environment_gaya_berpakaian_contoh,work_environment_tunjangan,work_environment_bahasa,platform,pendidikan,jumlah_loker_per_provinsi
44,Jawa,Daerah Khusus Ibukota Jakarta,Angular Developer,PT Tekno Gemilang Indonesia,0,0 - 4 tahun,14,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",201 - 500 pekerja,senin - jumat,bisnis,kemeja,"transportasi, makan, bonus, kesehatan",Indonesia,jobstreet,"D3, S1",5985
45,Jawa,Jawa Timur,Programmer,PT Bumi Indo Mapan,2,0 - 4 tahun,14,Umum & Grosir,201 - 500 pekerja,senin - sabtu,tidak spesifik,tidak spesifik,tidak tersedia,Indonesia,jobstreet,S1,1296
46,Jawa,Jawa Timur,Field Collection Pamekasan,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",1296
47,Jawa,Jawa Timur,Field Collection Lumajang,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",1296
48,Jawa,Daerah Istimewa Yogyakarta,Graphic Designer,Breef Studio,1,0 - 4 tahun,10,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",1- 50 pekerja,senin - jumat,kasual,kaos,kesehatan,Indonesia,jobstreet,TIDAK DICANTUMKAN,216
49,Jawa,Daerah Khusus Ibukota Jakarta,App Store Optimization,PT Andalan Resources,2,0 - 4 tahun,14,Pameran/Manajemen acara/PIKP,1- 50 pekerja,senin - jumat,kasual,kaos,bonus,Indonesia,jobstreet,TIDAK DICANTUMKAN,5985
50,Jawa,Jawa Timur,Field Collection Sumenep,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",1296
51,Jawa,Jawa Timur,Field Collection Banyuwangi,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",1296
52,Jawa,Jawa Timur,Marketing In House,PT. PRAMBANAN BIZLAND INDONESIA,2,0 - 4 tahun,14,Properti/Real Estate,1- 50 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum","Indonesia, Inggris",jobstreet,"D3, S1",1296
53,Jawa,Jawa Timur,Field Collection Lamongan,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",1296
