id_loker,provinsi,pendidikan
401,Kepulauan Riau,D3
402,DKI Jakarta,TIDAK DICANTUMKAN
403,DKI Jakarta,TIDAK DICANTUMKAN
404,DI Yogyakarta,TIDAK DICANTUMKAN
405,Kepulauan Riau,TIDAK DICANTUMKAN
406,DKI Jakarta,TIDAK DICANTUMKAN
407,Banten,S1
408,DKI Jakarta,TIDAK DICANTUMKAN
409,DI Yogyakarta,TIDAK DICANTUMKAN
410,Jawa Barat,TIDAK DICANTUMKAN
411,DKI Jakarta,S1
412,Jawa Timur,TIDAK DICANTUMKAN
413,DKI Jakarta,D3
414,Kepulauan Riau,TIDAK DICANTUMKAN
415,DKI Jakarta,TIDAK DICANTUMKAN
416,DKI Jakarta,TIDAK DICANTUMKAN
417,Kepulauan Riau,TIDAK DICANTUMKAN
418,DKI Jakarta,TIDAK DICANTUMKAN
419,Jawa Timur,S1
420,Kepulauan Riau,TIDAK DICANTUMKAN
421,DKI Jakarta,D3
421,DKI Jakarta,S1
422,DKI Jakarta,TIDAK DICANTUMKAN
423,DKI Jakarta,TIDAK DICANTUMKAN
424,Kepulauan Riau,D3
425,Kepulauan Riau,D3
426,DKI Jakarta,TIDAK DICANTUMKAN
427,Jawa Barat,TIDAK DICANTUMKAN
428,DKI Jakarta,D3
428,DKI Jakarta,S1
429,DKI Jakarta,S1
430,Jawa Tengah,SMK
431,DKI Jakarta,S1
432,Kepulauan Riau,TIDAK DICANTUMKAN
433,Banten,SMK
434,DKI Jakarta,TIDAK DICANTUMKAN
435,DKI Jakarta,TIDAK DICANTUMKAN
436,Banten,TIDAK DICANTUMKAN
437,DKI Jakarta,S1
438,DKI Jakarta,TIDAK DICANTUMKAN
439,Jawa Barat,TIDAK DICANTUMKAN
440,DKI Jakarta,D3
441,Jawa Tengah,TIDAK DICANTUMKAN
442,DKI Jakarta,S1
443,Kepulauan Riau,S1
443,Kepulauan Riau,D3
444,DKI Jakarta,TIDAK DICANTUMKAN
445,Banten,S1
446,DKI Jakarta,TIDAK DICANTUMKAN
447,DKI Jakarta,S1
448,Banten,TIDAK DICANTUMKAN
449,DKI Jakarta,S1
450,Jawa Tengah,S1
451,DKI Jakarta,S1
452,DKI Jakarta,S1
453,Kepulauan Riau,TIDAK DICANTUMKAN
454,Jawa Barat,TIDAK DICANTUMKAN
455,DKI Jakarta,TIDAK DICANTUMKAN
456,Jawa Barat,TIDAK DICANTUMKAN
457,Kepulauan Riau,TIDAK DICANTUMKAN
458,Jawa Barat,TIDAK DICANTUMKAN
459,DKI Jakarta,TIDAK DICANTUMKAN
460,DKI Jakarta,TIDAK DICANTUMKAN
461,Banten,S1
462,DKI Jakarta,TIDAK DICANTUMKAN
463,DKI Jakarta,TIDAK DICANTUMKAN
464,Banten,TIDAK DICANTUMKAN
465,DKI Jakarta,D3
466,Banten,S1
467,DKI Jakarta,S1
468,Jawa Barat,SMK
469,DKI Jakarta,D3
470,DKI Jakarta,SMK
470,DKI Jakarta,D3
471,DKI Jakarta,D3
471,DKI Jakarta,S1
472,Banten,D3
473,DI Yogyakarta,TIDAK DICANTUMKAN
474,DKI Jakarta,S1
475,DKI Jakarta,S1
476,DKI Jakarta,S1
477,Jawa Timur,S1
478,Jawa Timur,TIDAK DICANTUMKAN
479,DKI Jakarta,TIDAK DICANTUMKAN
480,Jawa Barat,TIDAK DICANTUMKAN
481,Banten,D3
482,DKI Jakarta,S1
483,DKI Jakarta,S1
484,DKI Jakarta,TIDAK DICANTUMKAN
485,Banten,S1
486,DKI Jakarta,S1
487,Jawa Barat,TIDAK DICANTUMKAN
488,DKI Jakarta,S1
489,DI Yogyakarta,D3
490,DKI Jakarta,TIDAK DICANTUMKAN
491,DKI Jakarta,SMK
492,DKI Jakarta,D3
493,Banten,D3
494,DKI Jakarta,S1
495,DKI Jakarta,S1
496,Jawa Barat,D3
497,Sumatera Selatan,SMK
498,Banten,D3
499,Kepulauan Riau,TIDAK DICANTUMKAN
500,Sumatera Selatan,SMK
501,DKI Jakarta,TIDAK DICANTUMKAN
502,DI Yogyakarta,D3
503,DKI Jakarta,TIDAK DICANTUMKAN
504,DKI Jakarta,D3
505,DKI Jakarta,TIDAK DICANTUMKAN
506,Jawa Barat,S1
507,Jawa Barat,TIDAK DICANTUMKAN
508,Jawa Barat,TIDAK DICANTUMKAN
509,Jawa Barat,TIDAK DICANTUMKAN
510,DKI Jakarta,S1
511,DKI Jakarta,S1
512,DKI Jakarta,D3
513,DKI Jakarta,D3
514,DKI Jakarta,TIDAK DICANTUMKAN
515,Sumatera Utara,SMK
516,DKI Jakarta,D3
517,Jawa Barat,S1
518,DKI Jakarta,S1
519,DKI Jakarta,TIDAK DICANTUMKAN
520,Jawa Barat,TIDAK DICANTUMKAN
521,Jawa Tengah,TIDAK DICANTUMKAN
522,Jawa Barat,TIDAK DICANTUMKAN
523,Jawa Barat,D3
524,DKI Jakarta,S1
525,Banten,TIDAK DICANTUMKAN
526,Jawa Barat,D3
527,DKI Jakarta,TIDAK DICANTUMKAN
528,DI Yogyakarta,TIDAK DICANTUMKAN
529,Kepulauan Riau,S1
530,DI Yogyakarta,S1
531,Kalimantan Timur,S1
532,Kepulauan Riau,TIDAK DICANTUMKAN
533,DKI Jakarta,TIDAK DICANTUMKAN
534,Jawa Barat,S1
535,Jawa Barat,S1
536,Riau,D3
537,DKI Jakarta,TIDAK DICANTUMKAN
538,DI Yogyakarta,TIDAK DICANTUMKAN
539,Banten,TIDAK DICANTUMKAN
540,DKI Jakarta,TIDAK DICANTUMKAN
541,DKI Jakarta,TIDAK DICANTUMKAN
542,DKI Jakarta,TIDAK DICANTUMKAN
543,DKI Jakarta,TIDAK DICANTUMKAN
544,DKI Jakarta,TIDAK DICANTUMKAN
545,Jawa Tengah,TIDAK DICANTUMKAN
546,DKI Jakarta,TIDAK DICANTUMKAN
547,Jawa Barat,TIDAK DICANTUMKAN
548,DKI Jakarta,S1
549,DKI Jakarta,TIDAK DICANTUMKAN
550,DKI Jakarta,TIDAK DICANTUMKAN
551,Jawa Timur,S1
552,DKI Jakarta,TIDAK DICANTUMKAN
553,Jawa Barat,TIDAK DICANTUMKAN
554,Kepulauan Riau,TIDAK DICANTUMKAN
555,Jawa Timur,TIDAK DICANTUMKAN
556,Jawa Timur,TIDAK DICANTUMKAN
557,DKI Jakarta,TIDAK DICANTUMKAN
558,Jawa Barat,S1
559,DKI Jakarta,S1
560,DKI Jakarta,S1
561,DKI Jakarta,S1
562,Kepulauan Riau,TIDAK DICANTUMKAN
563,DKI Jakarta,TIDAK DICANTUMKAN
564,DKI Jakarta,TIDAK DICANTUMKAN
565,DKI Jakarta,TIDAK DICANTUMKAN
566,Jawa Barat,TIDAK DICANTUMKAN
567,Kepulauan Riau,TIDAK DICANTUMKAN
568,Kepulauan Riau,TIDAK DICANTUMKAN
569,DKI Jakarta,TIDAK DICANTUMKAN
570,DKI Jakarta,TIDAK DICANTUMKAN
571,Jawa Timur,SMK
572,DKI Jakarta,TIDAK DICANTUMKAN
573,DKI Jakarta,TIDAK DICANTUMKAN
574,DKI Jakarta,TIDAK DICANTUMKAN
575,Kepulauan Riau,TIDAK DICANTUMKAN
576,DKI Jakarta,TIDAK DICANTUMKAN
577,DKI Jakarta,D3
577,DKI Jakarta,S1
578,Jawa Timur,D3
579,DKI Jakarta,S1
580,Jawa Barat,TIDAK DICANTUMKAN
581,DKI Jakarta,TIDAK DICANTUMKAN
582,DKI Jakarta,TIDAK DICANTUMKAN
583,Jawa Barat,D3
584,Jawa Barat,D3
585,Kepulauan Riau,TIDAK DICANTUMKAN
586,DKI Jakarta,TIDAK DICANTUMKAN
587,Jawa Barat,D3
588,DKI Jakarta,D3
589,DKI Jakarta,S1
590,DKI Jakarta,TIDAK DICANTUMKAN
591,DKI Jakarta,D3
591,DKI Jakarta,S1
592,DKI Jakarta,TIDAK DICANTUMKAN
593,DKI Jakarta,S1
594,DKI Jakarta,TIDAK DICANTUMKAN
595,DKI Jakarta,TIDAK DICANTUMKAN
596,Jawa Barat,TIDAK DICANTUMKAN
597,DKI Jakarta,TIDAK DICANTUMKAN
598,Jawa Timur,TIDAK DICANTUMKAN
599,DKI Jakarta,TIDAK DICANTUMKAN
600,DKI Jakarta,S1
601,DKI Jakarta,TIDAK DICANTUMKAN
602,DKI Jakarta,TIDAK DICANTUMKAN
603,Jawa Barat,TIDAK DICANTUMKAN
604,DKI Jakarta,S1
604,DKI Jakarta,D3
605,DKI Jakarta,TIDAK DICANTUMKAN
606,DKI Jakarta,S1
607,DKI Jakarta,TIDAK DICANTUMKAN
608,DKI Jakarta,TIDAK DICANTUMKAN
609,DKI Jakarta,TIDAK DICANTUMKAN
610,DKI Jakarta,TIDAK DICANTUMKAN
611,DKI Jakarta,S1
612,DKI Jakarta,TIDAK DICANTUMKAN
613,DKI Jakarta,D3
613,DKI Jakarta,S1
614,DKI Jakarta,TIDAK DICANTUMKAN
615,Jawa Barat,S1
616,DKI Jakarta,TIDAK DICANTUMKAN
617,DKI Jakarta,TIDAK DICANTUMKAN
618,DKI Jakarta,TIDAK DICANTUMKAN
619,DKI Jakarta,TIDAK DICANTUMKAN
620,Jawa Timur,S1
621,DKI Jakarta,TIDAK DICANTUMKAN
622,Jawa Timur,TIDAK DICANTUMKAN
623,Jawa Barat,S1
624,DKI Jakarta,S1
625,Jawa Timur,S1
626,Jawa Barat,S1
627,DKI Jakarta,TIDAK DICANTUMKAN
628,DKI Jakarta,TIDAK DICANTUMKAN
629,DKI Jakarta,TIDAK DICANTUMKAN
630,DKI Jakarta,S1
631,DKI Jakarta,TIDAK DICANTUMKAN
632,Jawa Timur,TIDAK DICANTUMKAN
633,Bali,TIDAK DICANTUMKAN
634,DKI Jakarta,S1
635,DKI Jakarta,TIDAK DICANTUMKAN
636,DKI Jakarta,TIDAK DICANTUMKAN
637,DKI Jakarta,S1
638,DKI Jakarta,S1
